Task,Cue,curColor,curMotion,TaskTransition,CueTransition,ResponseTransition,miniBlockSize,correctResponse,miniBlockTrial,miniBlock,Block
1,1,1,2,0,1,0,3,1,1,62,1
1,1,1,2,0,1,0,3,1,2,62,1
1,1,2,2,0,1,1,3,2,3,62,1
1,1,2,2,0,0,1,4,2,1,63,1
1,1,2,2,0,0,1,4,2,2,63,1
1,1,2,1,0,0,0,4,2,3,63,1
1,1,1,1,0,0,1,4,1,4,63,1
2,2,2,2,1,0,0,5,2,1,64,1
2,2,2,2,1,0,0,5,2,2,64,1
2,2,1,1,1,0,1,5,1,3,64,1
2,2,2,1,1,0,0,5,1,4,64,1
2,2,1,1,1,0,0,5,1,5,64,1
2,2,1,1,0,0,0,3,1,1,65,1
2,2,1,1,0,0,0,3,1,2,65,1
2,2,1,2,0,0,1,3,2,3,65,1
2,2,2,2,0,0,1,3,2,1,66,1
2,2,2,2,0,0,1,3,2,2,66,1
2,2,2,2,0,0,0,3,2,3,66,1
1,1,2,1,-1,-1,0,4,2,1,67,2
1,1,2,1,-1,-1,0,4,2,2,67,2
1,1,1,1,-1,-1,1,4,1,3,67,2
1,1,2,2,-1,-1,1,4,2,4,67,2
